loyalty,satisfaction,Involvement_1,Involvement_2,Involvement_3,Involvement_4,Emo_1,Emo_2,Emo_3,Calc_1,Calc_2,Calc_3,Calc_4,Calc_5,trust_1,trust_2,trust_3,image_1,image_2,image_3,image_4,image_5,educ,gender,age,Involvement,Emotional,Calculative,Trust,Image
7,4,4,2,1,1,4,4,4,3,5,4,4,5,4,4,4,4,4,4,4,4,3,1,2,8,12,21,12,20
7,5,3,4,4,2,5,5,5,3,3,2,2,2,5,5,5,4,5,5,5,5,6,1,4,13,15,12,15,24
7,5,4,3,3,5,5,5,4,5,3,3,5,3,3,5,4,5,4,3,5,3,5,2,4,15,14,19,12,20
7,5,4,4,2,1,3,4,5,2,3,2,3,5,3,4,5,4,4,5,5,4,4,1,4,11,12,15,12,22
7,5,4,4,5,3,5,5,5,4,3,4,5,1,4,5,5,5,5,5,5,5,6,2,5,16,15,17,14,25
7,5,4,3,5,5,5,5,4,5,5,1,4,4,5,5,5,5,5,5,5,5,1,2,6,17,14,19,15,25
7,5,2,2,3,5,4,5,5,3,3,3,3,1,4,5,5,3,5,5,5,5, ,1,6,12,14,13,14,23
7,5,5,5,5,2,5,5,5,5,2,2,3,5,4,5,5,5,5,5,5,5,4,2,2,17,15,17,14,25
7,4,4,2,2,1,4,5,5,3,4,3,3,5,4,4,4,4,4,5,5,5,4,1,5,9,14,18,12,23
7,5,4,5,4,3,4,5,4,3,1,5,3,5,4,5,5,4,5,5,4,5,1,1,6,16,13,17,14,23
7,5,4,4,4,4,4,4,5,4,3,3,2,2,3,5,5,4,4,5,5,5,5,2,2,16,13,14,13,23
7,5,3,1,4,1,5,5,5,3,3,4,4,4,4,5,5,5,5,5,5,5,6,1,7,9,15,18,14,25
7,5,4,4,4,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,7,1,6,16,15,23,15,25
7,4,2,5,4,2,4,5,5,4,4,3,5,5,3,4,5,5,3,5,5,5,7,2,2,13,14,21,12,23
7,5,5,4,3,5,5,4,4,3,3,3,5,4,4,4,4,5,4,4,5,4,3,2,7,17,13,18,12,22
7,5,4,5,5,5,4,4,5,4,2,2,3,3,3,5,5,5,4,5,4,5,5,1,2,19,13,14,13,23
7,5,4,4,5,5,4,4,5,4,2,5,4,2,4,5,5,3,5,4,4,4,7,1,2,18,13,17,14,20
7,5,4,4,3,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,4,2,6,16,15,22,15,25
7,4,4,4,2,4,5,5,5,3,4,4,5,3,3,5,5,4,5,5,5,5,4,2,4,14,15,19,13,24
7,4,3,4,3,3,3,3,5,3,3,3,3,4,3,5,5,5,5,5,5,5,4,1,6,13,11,16,13,25
7,5,2,3,2,2,3,5,4,3,4,4,3,4,3,4,5,4,5,5,4,4,7,1,3,9,12,18,12,22
7,4,3,3,4,4,5,5,5,1,4,3,4,3,4,5,5,5,5,5,5,5,6,1,2,14,15,15,14,25
7,4,5,5,5,5,5,4,5,5,5,2,5,4,4,5,5,5,5,5,5,5,1,1,7,20,14,21,14,25
7,4,3,3,3,3,4,4,4,3,3,3,2,4,2,4,5,4,4,4,4,4,6,2,5,12,12,15,11,20
7,4,1,3,1,1,4,3,4,3,3,3,3,3,3,4,4,3,4,5,3,3,2,2,6,6,11,15,11,18
7,4,4,5,5,4,4,4,4,2,3,3,4,4,4,4,4,4,4,3,4,4,3,1,1,18,12,16,12,19
7,4,4,5,5,5,4,3,4,4,3,3,2,2,3,5,5,3,3,3,4,4,4,1,5,19,11,14,13,17
7,4,5,5,5,5,3,4,4,3,1,3,2,2,1,3,4,3,3,4,4,4,2,2,4,20,11,11,8,18
7,5,4,3,4,4,5,5,4,4,5,3,3,4,5,5,5,5,5,5,4,5,4,2,6,15,14,19,15,24
7,5,4,2,3,4,5,5,5,3,3,3,1,4,5,5,5,5,5,5,5,5,6,1,7,13,15,14,15,25
7,5,4,4,4,4,4,5,5,3,4,2,4,5,4,5,5,5,4,5,5,5,4,1,5,16,14,18,14,24
7,4,1,4,4,2,4,4,4,3,3,3,2,4,3,4,4,4,5,5,4,4,6,1,2,11,12,15,11,22
7,5,3,3,3,3,5,5,5,3,3,3,1,3,5,5,5,5,5,5,5,5,4,1,6,12,15,13,15,25
7,5,5,2,2,4,5,5,4,3,3,5,1,1,5,5,5,5,5,5,5,5,2,1,6,13,14,13,15,25
7,4,3,5,5,5,4,5,5,3,3,3,4,2,4,4,5,4,5,5,4,5,5,2,6,18,14,15,13,23
7,5,3,4,4,4,5,5,5,3,3,3,4,2,4,5,5,5,5,5,5,5,4,1,6,15,15,15,14,25
7,5,4,5,4,5,5,5,5,2,3,3,2,4,5,5,5,5,5,4,5,5,6,1,6,18,15,14,15,24
7,4,4,2,3,5,4,4,4,3,2,3,3,3,3,4,4,4,4,3,3,4,4,2,5,14,12,14,11,18
